Time,GeoType,GeoID,GeoRank,Geography,"Age-adjusted rate (Females) per 100,000","Age-adjusted rate (Males) per 100,000","Age-adjusted rate per 100,000",Average annual number,Average annual number (Females),Average annual number (Males),Type
2011-2015,Subboro,1,5,Mott Haven/Hunts Point,12.8,20.5,16.3,21.6,9,12.6,Non-Hodgkin's Lymphomas
2011-2015,Subboro,2,5,Morrisania/East Tremont,14.7,24.7,18.7,25,11.6,13.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,3,5,Highbridge/South Concourse,22.6,19,20.6,25.4,15.6,9.8,Non-Hodgkin's Lymphomas
2011-2015,Subboro,4,5,University Heights/Fordham,14.9,30.1,20.9,21.8,9.2,12.6,Non-Hodgkin's Lymphomas
2011-2015,Subboro,5,5,Kingsbridge Heights/Mosholu,15,21.9,18.1,20.8,9.4,11.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,6,5,Riverdale/Kingsbridge,18,21.8,19.6,28.4,15.4,13,Non-Hodgkin's Lymphomas
2011-2015,Subboro,7,5,Soundview/Parkchester,14.5,24.9,18.7,32.6,14.6,18,Non-Hodgkin's Lymphomas
2011-2015,Subboro,8,5,Throgs Neck/Co-op City,15.1,25.8,19.2,31,14.4,16.6,Non-Hodgkin's Lymphomas
2011-2015,Subboro,9,5,Pelham Parkway,16,23.1,19,26.4,12.8,13.6,Non-Hodgkin's Lymphomas
2011-2015,Subboro,10,5,Williamsbridge/Baychester,15.1,26.2,19.5,27.8,12.6,15.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,11,5,Williamsburg/Greenpoint,17.6,20.6,18.7,23.4,12.2,11.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,12,5,Brooklyn Heights/Fort Greene,17.9,23.5,20.6,24.2,11.6,12.6,Non-Hodgkin's Lymphomas
2011-2015,Subboro,13,5,Bedford Stuyvesant,12.8,17.6,14.6,17.2,8.8,8.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,14,5,Bushwick,14,21.9,17.7,20.6,8.8,11.8,Non-Hodgkin's Lymphomas
2011-2015,Subboro,15,5,East New York/Starret City,12.3,22,16.1,24.2,11,13.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,16,5,Park Slope/Carroll Gardens,20,23.3,21.2,20.4,10.8,9.6,Non-Hodgkin's Lymphomas
2011-2015,Subboro,17,5,Sunset Park,12.2,23.7,17.3,23.4,8.6,14.8,Non-Hodgkin's Lymphomas
2011-2015,Subboro,18,5,N. Crown Heights/Prospect Heights,14,26.9,19.3,23.4,10.2,13.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,19,5,South Crown Heights,14.3,17,15.4,17.6,9.8,7.8,Non-Hodgkin's Lymphomas
2011-2015,Subboro,20,5,Bay Ridge,19.1,26,22.3,32.2,16.2,16,Non-Hodgkin's Lymphomas
2011-2015,Subboro,21,5,Bensonhurst,14.1,23.3,18.3,41.2,18,23.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,22,5,Borough Park,19.3,28.9,23.9,35.2,14.8,20.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,23,5,Coney Island,20.8,25.8,22.9,40.4,21.2,19.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,24,5,Flatbush,17.3,19.7,18.5,31,16.6,14.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,25,5,Sheepshead Bay/Gravesend,17.9,24.7,21,40.8,19.4,21.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,26,5,Brownsville/Ocean Hill,17.7,25.2,20.4,21.2,11.4,9.8,Non-Hodgkin's Lymphomas
2011-2015,Subboro,27,5,East Flatbush,14.4,15.8,15.2,23,12.6,10.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,28,5,Flatlands/Canarsie,10.1,17.8,13,40.6,19.6,21,Non-Hodgkin's Lymphomas
2011-2015,Subboro,29,5,Greenwich Village/Financial District,18.2,32.6,25.5,35.8,13.4,22.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,30,5,Lower East Side/Chinatown,15.2,22.4,18.2,35.4,16.2,19.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,31,5,Chelsea/Clinton/Midtown,16.7,30.3,23,36.2,13.4,22.8,Non-Hodgkin's Lymphomas
2011-2015,Subboro,32,5,Stuyvesant Town/Turtle Bay,23.1,32.3,27.1,48.6,23.4,25.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,33,5,Upper West Side,20.2,31.8,25.2,65.6,30,35.6,Non-Hodgkin's Lymphomas
2011-2015,Subboro,34,5,Upper East Side,21.3,33.1,26.4,75.4,35.8,39.6,Non-Hodgkin's Lymphomas
2011-2015,Subboro,35,5,Morningside Heights/Hamilton Heights,16.6,22.2,18.9,22.6,11.2,11.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,36,5,Central Harlem,16.9,21.9,19.1,22.2,11.2,11,Non-Hodgkin's Lymphomas
2011-2015,Subboro,37,5,East Harlem,15.5,24.1,19.2,23.4,11.2,12.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,38,5,Washington Heights/Inwood,13.3,22.7,16.9,35.8,16.4,19.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,39,5,Astoria,15.5,26.4,20.1,35.6,15.2,20.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,40,5,Sunnyside/Woodside,12.8,25.3,18.8,26,9.6,16.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,41,5,Jackson Heights,17,20.5,18.6,32.4,16,16.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,42,5,Elmhurst/Corona,15.7,18.5,16.8,23,11.8,11.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,43,5,Middle Village/Ridgewood,15.2,27.9,21,38.6,15.2,23.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,44,5,Forest Hills/Rego Park,18.4,34.1,25.4,40.4,18.2,22.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,45,5,Flushing/Whitestone,14.2,23.3,18.2,62,27.6,34.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,46,5,Hillcrest/Fresh Meadows,17.9,25.7,21.2,38.4,18.2,20.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,47,5,Kew Gardens/Woodhaven,16.4,21.4,19,25.6,11.4,14.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,48,5,Howard Beach/South Ozone Park,14.3,17.7,15.7,21.8,11,10.8,Non-Hodgkin's Lymphomas
2011-2015,Subboro,49,5,Bayside/Little Neck,16.4,25.3,20.4,32.4,14.4,18,Non-Hodgkin's Lymphomas
2011-2015,Subboro,50,5,Jamaica,12.1,15.2,13.5,31.8,16.4,15.4,Non-Hodgkin's Lymphomas
2011-2015,Subboro,51,5,Bellerose/Rosedale,14.8,23.7,18.5,42.6,20.6,22,Non-Hodgkin's Lymphomas
2011-2015,Subboro,52,5,Rockaways,18.6,16.4,17.5,23,13.8,9.2,Non-Hodgkin's Lymphomas
2011-2015,Subboro,53,5,North Shore,19.9,30.1,24.2,43.2,19.6,23.6,Non-Hodgkin's Lymphomas
2011-2015,Subboro,54,5,Mid Island,19.4,31.5,24.7,41,18.4,22.6,Non-Hodgkin's Lymphomas
2011-2015,Subboro,55,5,South Shore,22.3,25.2,23.6,44.2,22.6,21.6,Non-Hodgkin's Lymphomas
2011-2015,Borough,1,1,Bronx,15.9,24,19.2,260.8,124.6,136.2,Non-Hodgkin's Lymphomas
2011-2015,Borough,2,1,Brooklyn,16.3,23.1,19.3,500.2,241.6,258.6,Non-Hodgkin's Lymphomas
2011-2015,Borough,3,1,Manhattan,18,28.1,22.5,401.2,182.2,219,Non-Hodgkin's Lymphomas
2011-2015,Borough,4,1,Queens,15.5,23.3,18.9,473.8,219.6,254.2,Non-Hodgkin's Lymphomas
2011-2015,Borough,5,1,Staten Island,20.5,28.9,24.1,128.4,60.6,67.8,Non-Hodgkin's Lymphomas
2011-2015,Citywide,1,0,New York City,16.6,24.7,20.1,1764.4,828.6,935.8,Non-Hodgkin's Lymphomas
2009-2013,Subboro,1,5,Mott Haven/Hunts Point,14.7,24.3,19.2,24.2,10,14.2,Non-Hodgkin's Lymphomas
2009-2013,Subboro,2,5,Morrisania/East Tremont,14.2,24,18.4,23.8,10.4,13.4,Non-Hodgkin's Lymphomas
2009-2013,Subboro,3,5,Highbridge/South Concourse,22.2,22.1,22.1,26.8,14.8,12,Non-Hodgkin's Lymphomas
2009-2013,Subboro,4,5,University Heights/Fordham,16,28.2,21,21.4,9.2,12.2,Non-Hodgkin's Lymphomas
2009-2013,Subboro,5,5,Kingsbridge Heights/Mosholu,16.2,27,20.9,22.6,9.8,12.8,Non-Hodgkin's Lymphomas
2009-2013,Subboro,6,5,Riverdale/Kingsbridge,19.1,22.9,20.8,28.8,16.2,12.6,Non-Hodgkin's Lymphomas
2009-2013,Subboro,7,5,Soundview/Parkchester,15.4,23.1,18.5,31.4,15.2,16.2,Non-Hodgkin's Lymphomas
2009-2013,Subboro,8,5,Throgs Neck/Co-op City,16.6,24.3,19.9,31,16.2,14.8,Non-Hodgkin's Lymphomas
2009-2013,Subboro,9,5,Pelham Parkway,15.1,26.6,19.9,26.4,11.2,15.2,Non-Hodgkin's Lymphomas
2009-2013,Subboro,10,5,Williamsbridge/Baychester,15.6,23.4,18.8,26.2,13,13.2,Non-Hodgkin's Lymphomas
2009-2013,Subboro,11,5,Williamsburg/Greenpoint,17.1,20.3,18.3,22,11,11,Non-Hodgkin's Lymphomas
2009-2013,Subboro,12,5,Brooklyn Heights/Fort Greene,15.9,26.5,20.6,23,10.2,12.8,Non-Hodgkin's Lymphomas
2009-2013,Subboro,13,5,Bedford Stuyvesant,13,21.5,16.4,18.4,8.6,9.8,Non-Hodgkin's Lymphomas
2009-2013,Subboro,14,5,Bushwick,15.2,25.2,20,22.2,9.2,13,Non-Hodgkin's Lymphomas
2009-2013,Subboro,15,5,East New York/Starret City,13.5,20,16.1,23.2,11.6,11.6,Non-Hodgkin's Lymphomas
2009-2013,Subboro,16,5,Park Slope/Carroll Gardens,20.2,24.6,21.9,20.6,10.6,10,Non-Hodgkin's Lymphomas
2009-2013,Subboro,17,5,Sunset Park,11.9,25.2,17.9,21.8,8,13.8,Non-Hodgkin's Lymphomas
2009-2013,Subboro,18,5,N. Crown Heights/Prospect Heights,16.2,25.4,20.4,23.4,11,12.4,Non-Hodgkin's Lymphomas
2009-2013,Subboro,19,5,South Crown Heights,15.1,13.3,14.6,16.2,10.2,6,Non-Hodgkin's Lymphomas
2009-2013,Subboro,20,5,Bay Ridge,20.5,27.1,23.2,33.2,17,16.2,Non-Hodgkin's Lymphomas
2009-2013,Subboro,21,5,Bensonhurst,16.5,25,20.6,44.8,21,23.8,Non-Hodgkin's Lymphomas
2009-2013,Subboro,22,5,Borough Park,16.7,27.4,21.7,32.2,13.6,18.6,Non-Hodgkin's Lymphomas
2009-2013,Subboro,23,5,Coney Island,22.2,24.7,23.2,40.8,22.8,18,Non-Hodgkin's Lymphomas
2009-2013,Subboro,24,5,Flatbush,19.6,18,19,31,18.4,12.6,Non-Hodgkin's Lymphomas
2009-2013,Subboro,25,5,Sheepshead Bay/Gravesend,17.7,23.5,20.4,39.4,19.6,19.8,Non-Hodgkin's Lymphomas
2009-2013,Subboro,26,5,Brownsville/Ocean Hill,15.2,22.3,17.9,18.4,9.6,8.8,Non-Hodgkin's Lymphomas
2009-2013,Subboro,27,5,East Flatbush,14.9,14.3,14.9,22.2,13,9.2,Non-Hodgkin's Lymphomas
2009-2013,Subboro,28,5,Flatlands/Canarsie,13.8,23.6,17.9,37.2,17.2,20,Non-Hodgkin's Lymphomas
2009-2013,Subboro,29,5,Greenwich Village/Financial District,19.7,29.7,24.6,33.4,14.4,19,Non-Hodgkin's Lymphomas
2009-2013,Subboro,30,5,Lower East Side/Chinatown,16.6,23.8,19.5,37.2,17.4,19.8,Non-Hodgkin's Lymphomas
2009-2013,Subboro,31,5,Chelsea/Clinton/Midtown,17.2,31.5,24.2,36.6,13.2,23.4,Non-Hodgkin's Lymphomas
2009-2013,Subboro,32,5,Stuyvesant Town/Turtle Bay,25,29.7,27,48.4,25,23.4,Non-Hodgkin's Lymphomas
2009-2013,Subboro,33,5,Upper West Side,22.4,32.5,26.7,66.4,31.8,34.6,Non-Hodgkin's Lymphomas
2009-2013,Subboro,34,5,Upper East Side,20.2,32.8,25.6,72.4,33.6,38.8,Non-Hodgkin's Lymphomas
2009-2013,Subboro,35,5,Morningside Heights/Hamilton Heights,14.8,22,17.6,20.6,9.6,11,Non-Hodgkin's Lymphomas
2009-2013,Subboro,36,5,Central Harlem,14.3,22,17.7,20.4,9.4,11,Non-Hodgkin's Lymphomas
2009-2013,Subboro,37,5,East Harlem,11.4,21.4,15.5,18.4,7.8,10.6,Non-Hodgkin's Lymphomas
2009-2013,Subboro,38,5,Washington Heights/Inwood,13,23.7,17.3,35.4,15.6,19.8,Non-Hodgkin's Lymphomas
2009-2013,Subboro,39,5,Astoria,18.2,25.1,21.1,36.4,17.6,18.8,Non-Hodgkin's Lymphomas
2009-2013,Subboro,40,5,Sunnyside/Woodside,14.4,26.4,19.7,26,10.2,15.8,Non-Hodgkin's Lymphomas
2009-2013,Subboro,41,5,Jackson Heights,14.8,20.4,17.5,29.8,13.8,16,Non-Hodgkin's Lymphomas
2009-2013,Subboro,42,5,Elmhurst/Corona,14.1,17.8,15.9,20.4,10,10.4,Non-Hodgkin's Lymphomas
2009-2013,Subboro,43,5,Middle Village/Ridgewood,14.4,25.3,19.3,35,14.4,20.6,Non-Hodgkin's Lymphomas
2009-2013,Subboro,44,5,Forest Hills/Rego Park,18.7,30.9,24.1,37.4,17.8,19.6,Non-Hodgkin's Lymphomas
2009-2013,Subboro,45,5,Flushing/Whitestone,15.9,22.3,18.8,62,30.4,31.6,Non-Hodgkin's Lymphomas
2009-2013,Subboro,46,5,Hillcrest/Fresh Meadows,14.8,25,19.2,33.8,14.4,19.4,Non-Hodgkin's Lymphomas
2009-2013,Subboro,47,5,Kew Gardens/Woodhaven,18,22.9,20.4,26.6,12.4,14.2,Non-Hodgkin's Lymphomas
2009-2013,Subboro,48,5,Howard Beach/South Ozone Park,18.3,17.8,18.1,24.2,13.6,10.6,Non-Hodgkin's Lymphomas
2009-2013,Subboro,49,5,Bayside/Little Neck,18.3,27.4,22.4,34,15.6,18.4,Non-Hodgkin's Lymphomas
2009-2013,Subboro,50,5,Jamaica,12.6,20,15.6,35.6,16.8,18.8,Non-Hodgkin's Lymphomas
2009-2013,Subboro,51,5,Bellerose/Rosedale,13.6,21,16.6,37.4,18.4,19,Non-Hodgkin's Lymphomas
2009-2013,Subboro,52,5,Rockaways,17.3,20,18.2,22.6,12,10.6,Non-Hodgkin's Lymphomas
2009-2013,Subboro,53,5,North Shore,17.3,23.1,19.9,34.8,16.4,18.4,Non-Hodgkin's Lymphomas
2009-2013,Subboro,54,5,Mid Island,19.4,28.5,23,37.8,17.8,20,Non-Hodgkin's Lymphomas
2009-2013,Subboro,55,5,South Shore,23.1,26.4,24.5,43,22.2,20.8,Non-Hodgkin's Lymphomas
2009-2013,Borough,1,1,Bronx,16.7,24.7,20.1,263.6,126.4,137.2,Non-Hodgkin's Lymphomas
2009-2013,Borough,2,1,Brooklyn,16.8,23.3,19.6,491.6,243,248.6,Non-Hodgkin's Lymphomas
2009-2013,Borough,3,1,Manhattan,18.2,28.2,22.6,392,179,213,Non-Hodgkin's Lymphomas
2009-2013,Borough,4,1,Queens,15.9,23.2,19.1,464.6,219.4,245.2,Non-Hodgkin's Lymphomas
2009-2013,Borough,5,1,Staten Island,19.8,26.4,22.6,116,56.4,59.6,Non-Hodgkin's Lymphomas
2009-2013,Citywide,1,0,New York City,17,24.7,20.3,1727.8,824.2,903.6,Non-Hodgkin's Lymphomas
2008-2012,Subboro,1,5,Mott Haven/Hunts Point,14.8,21.5,18.3,22.6,9.8,12.8,Non-Hodgkin's Lymphomas
2008-2012,Subboro,2,5,Morrisania/East Tremont,14.4,27.5,19.9,25.2,10.4,14.8,Non-Hodgkin's Lymphomas
2008-2012,Subboro,3,5,Highbridge/South Concourse,20,25.5,22.5,26.6,13,13.6,Non-Hodgkin's Lymphomas
2008-2012,Subboro,4,5,University Heights/Fordham,17.8,25.3,21.3,21.6,9.8,11.8,Non-Hodgkin's Lymphomas
2008-2012,Subboro,5,5,Kingsbridge Heights/Mosholu,15.6,28.3,21.3,22.6,9.2,13.4,Non-Hodgkin's Lymphomas
2008-2012,Subboro,6,5,Riverdale/Kingsbridge,17.9,26,21.5,29,15.2,13.8,Non-Hodgkin's Lymphomas
2008-2012,Subboro,7,5,Soundview/Parkchester,15.3,23.1,18.7,31.4,14.6,16.8,Non-Hodgkin's Lymphomas
2008-2012,Subboro,8,5,Throgs Neck/Co-op City,15.9,25.8,20,31.2,15.6,15.6,Non-Hodgkin's Lymphomas
2008-2012,Subboro,9,5,Pelham Parkway,15.9,26.6,20.4,26.6,11.6,15,Non-Hodgkin's Lymphomas
2008-2012,Subboro,10,5,Williamsbridge/Baychester,15,18.7,16.5,22.8,12.2,10.6,Non-Hodgkin's Lymphomas
2008-2012,Subboro,11,5,Williamsburg/Greenpoint,17.8,22.6,19.9,24,11.8,12.2,Non-Hodgkin's Lymphomas
2008-2012,Subboro,12,5,Brooklyn Heights/Fort Greene,16.7,27.6,21.6,24.4,10.8,13.6,Non-Hodgkin's Lymphomas
2008-2012,Subboro,13,5,Bedford Stuyvesant,13.2,22,16.7,18.2,8.4,9.8,Non-Hodgkin's Lymphomas
2008-2012,Subboro,14,5,Bushwick,15,24.6,19.5,21,8.8,12.2,Non-Hodgkin's Lymphomas
2008-2012,Subboro,15,5,East New York/Starret City,14,26,18.6,25.8,11.8,14,Non-Hodgkin's Lymphomas
2008-2012,Subboro,16,5,Park Slope/Carroll Gardens,17.2,24.6,20.5,19.6,9.2,10.4,Non-Hodgkin's Lymphomas
2008-2012,Subboro,17,5,Sunset Park,13.6,20.4,16.5,19.8,9,10.8,Non-Hodgkin's Lymphomas
2008-2012,Subboro,18,5,N. Crown Heights/Prospect Heights,14.7,24.1,19,21.4,9.8,11.6,Non-Hodgkin's Lymphomas
2008-2012,Subboro,19,5,South Crown Heights,15.1,12.3,14.1,15.4,10,5.4,Non-Hodgkin's Lymphomas
2008-2012,Subboro,20,5,Bay Ridge,19.7,28.9,23.7,33,15.8,17.2,Non-Hodgkin's Lymphomas
2008-2012,Subboro,21,5,Bensonhurst,16.4,24.6,20.4,44.2,21.4,22.8,Non-Hodgkin's Lymphomas
2008-2012,Subboro,22,5,Borough Park,17.9,27.2,22,33,14.4,18.6,Non-Hodgkin's Lymphomas
2008-2012,Subboro,23,5,Coney Island,20.6,26.3,23,40,21.2,18.8,Non-Hodgkin's Lymphomas
2008-2012,Subboro,24,5,Flatbush,18.3,19.3,18.7,30,17,13,Non-Hodgkin's Lymphomas
2008-2012,Subboro,25,5,Sheepshead Bay/Gravesend,18.3,24.9,21.3,41,20.4,20.6,Non-Hodgkin's Lymphomas
2008-2012,Subboro,26,5,Brownsville/Ocean Hill,12.4,21.4,15.8,16.2,7.8,8.4,Non-Hodgkin's Lymphomas
2008-2012,Subboro,27,5,East Flatbush,13.7,12.3,13.3,19.4,11.6,7.8,Non-Hodgkin's Lymphomas
2008-2012,Subboro,28,5,Flatlands/Canarsie,15.6,25.3,19.6,39.8,18.8,21,Non-Hodgkin's Lymphomas
2008-2012,Subboro,29,5,Greenwich Village/Financial District,21.9,29.9,25.8,34.8,15.8,19,Non-Hodgkin's Lymphomas
2008-2012,Subboro,30,5,Lower East Side/Chinatown,17.3,24.3,19.8,37.4,17.4,20,Non-Hodgkin's Lymphomas
2008-2012,Subboro,31,5,Chelsea/Clinton/Midtown,15.7,29.3,22.7,34.4,12,22.4,Non-Hodgkin's Lymphomas
2008-2012,Subboro,32,5,Stuyvesant Town/Turtle Bay,24.7,30.6,27.3,48,24.8,23.2,Non-Hodgkin's Lymphomas
2008-2012,Subboro,33,5,Upper West Side,22.5,32.4,26.6,65,31.4,33.6,Non-Hodgkin's Lymphomas
2008-2012,Subboro,34,5,Upper East Side,19.9,33,25.4,72.4,33.2,39.2,Non-Hodgkin's Lymphomas
2008-2012,Subboro,35,5,Morningside Heights/Hamilton Heights,14.2,23.1,17.8,21,9.4,11.6,Non-Hodgkin's Lymphomas
2008-2012,Subboro,36,5,Central Harlem,13.7,21.2,17,19.6,9,10.6,Non-Hodgkin's Lymphomas
2008-2012,Subboro,37,5,East Harlem,13.3,21.8,16.6,19.6,9,10.6,Non-Hodgkin's Lymphomas
2008-2012,Subboro,38,5,Washington Heights/Inwood,13.3,25.7,18.2,37,15.8,21.2,Non-Hodgkin's Lymphomas
2008-2012,Subboro,39,5,Astoria,17.1,23.6,19.8,34,16.6,17.4,Non-Hodgkin's Lymphomas
2008-2012,Subboro,40,5,Sunnyside/Woodside,11.8,25.9,18,23.4,8,15.4,Non-Hodgkin's Lymphomas
2008-2012,Subboro,41,5,Jackson Heights,14.9,20.1,17.3,29,13.6,15.4,Non-Hodgkin's Lymphomas
2008-2012,Subboro,42,5,Elmhurst/Corona,13.1,16.1,14.6,19,9.2,9.8,Non-Hodgkin's Lymphomas
2008-2012,Subboro,43,5,Middle Village/Ridgewood,15.7,22.2,18.5,33.4,15.6,17.8,Non-Hodgkin's Lymphomas
2008-2012,Subboro,44,5,Forest Hills/Rego Park,19.2,24.2,21.4,34,18.4,15.6,Non-Hodgkin's Lymphomas
2008-2012,Subboro,45,5,Flushing/Whitestone,16.8,21.8,19,61.6,31.2,30.4,Non-Hodgkin's Lymphomas
2008-2012,Subboro,46,5,Hillcrest/Fresh Meadows,14.1,27.7,20,34.8,14,20.8,Non-Hodgkin's Lymphomas
2008-2012,Subboro,47,5,Kew Gardens/Woodhaven,18.7,22.5,20.7,26.4,12.8,13.6,Non-Hodgkin's Lymphomas
2008-2012,Subboro,48,5,Howard Beach/South Ozone Park,17.7,19.7,18.7,24.4,12.8,11.6,Non-Hodgkin's Lymphomas
2008-2012,Subboro,49,5,Bayside/Little Neck,19.1,26.2,22.2,33.8,16.2,17.6,Non-Hodgkin's Lymphomas
2008-2012,Subboro,50,5,Jamaica,12.7,20.4,15.8,35,16.4,18.6,Non-Hodgkin's Lymphomas
2008-2012,Subboro,51,5,Bellerose/Rosedale,14.8,18.7,16.3,35.8,19.2,16.6,Non-Hodgkin's Lymphomas
2008-2012,Subboro,52,5,Rockaways,19.5,21.6,20.2,24.8,13.4,11.4,Non-Hodgkin's Lymphomas
2008-2012,Subboro,53,5,North Shore,18.4,21.3,19.7,33.4,17.2,16.2,Non-Hodgkin's Lymphomas
2008-2012,Subboro,54,5,Mid Island,19.2,30.6,23.5,38,17.2,20.8,Non-Hodgkin's Lymphomas
2008-2012,Subboro,55,5,South Shore,24.8,27.4,25.8,44.8,23.4,21.4,Non-Hodgkin's Lymphomas
2008-2012,Borough,1,1,Bronx,16.4,25.2,20.2,260.4,121.6,138.8,Non-Hodgkin's Lymphomas
2008-2012,Borough,2,1,Brooklyn,16.7,23.7,19.7,487.6,238.4,249.2,Non-Hodgkin's Lymphomas
2008-2012,Borough,3,1,Manhattan,18.3,28.4,22.7,391,178.4,212.6,Non-Hodgkin's Lymphomas
2008-2012,Borough,4,1,Queens,16,22.4,18.8,450.8,217.8,233,Non-Hodgkin's Lymphomas
2008-2012,Borough,5,1,Staten Island,20.7,26.6,23.1,116.2,57.8,58.4,Non-Hodgkin's Lymphomas
2008-2012,Citywide,1,0,New York City,17,24.8,20.4,1706,814,892,Non-Hodgkin's Lymphomas
2007-2011,Subboro,1,5,Mott Haven/Hunts Point,14.8,22.2,18.5,22.4,9.6,12.8,Non-Hodgkin's Lymphomas
2007-2011,Subboro,2,5,Morrisania/East Tremont,14.8,25.6,19.5,25,10.8,14.2,Non-Hodgkin's Lymphomas
2007-2011,Subboro,3,5,Highbridge/South Concourse,18.5,25.7,21.4,24.4,11.8,12.6,Non-Hodgkin's Lymphomas
2007-2011,Subboro,4,5,University Heights/Fordham,17.9,25.1,21.3,21.4,10,11.4,Non-Hodgkin's Lymphomas
2007-2011,Subboro,5,5,Kingsbridge Heights/Mosholu,16.4,24.7,20.4,21.6,9.6,12,Non-Hodgkin's Lymphomas
2007-2011,Subboro,6,5,Riverdale/Kingsbridge,18.7,24.6,21.5,28.8,15.8,13,Non-Hodgkin's Lymphomas
2007-2011,Subboro,7,5,Soundview/Parkchester,15.2,24.1,19.1,32,14.4,17.6,Non-Hodgkin's Lymphomas
2007-2011,Subboro,8,5,Throgs Neck/Co-op City,15.8,26.5,20.3,30.8,15.2,15.6,Non-Hodgkin's Lymphomas
2007-2011,Subboro,9,5,Pelham Parkway,16.4,29.2,22,28.4,12,16.4,Non-Hodgkin's Lymphomas
2007-2011,Subboro,10,5,Williamsbridge/Baychester,15.5,18,16.8,22.8,12.4,10.4,Non-Hodgkin's Lymphomas
2007-2011,Subboro,11,5,Williamsburg/Greenpoint,18.5,18.3,18.8,22.4,12,10.4,Non-Hodgkin's Lymphomas
2007-2011,Subboro,12,5,Brooklyn Heights/Fort Greene,14.1,25.2,19,21,9,12,Non-Hodgkin's Lymphomas
2007-2011,Subboro,13,5,Bedford Stuyvesant,13.3,23.8,17.5,18.6,8.4,10.2,Non-Hodgkin's Lymphomas
2007-2011,Subboro,14,5,Bushwick,16.4,23.7,19.9,19.6,9,10.6,Non-Hodgkin's Lymphomas
2007-2011,Subboro,15,5,East New York/Starret City,15.1,26.4,19.4,26.6,12.4,14.2,Non-Hodgkin's Lymphomas
2007-2011,Subboro,16,5,Park Slope/Carroll Gardens,16.1,26.9,21.1,20,8.6,11.4,Non-Hodgkin's Lymphomas
2007-2011,Subboro,17,5,Sunset Park,14,23.2,18.1,21.8,9.4,12.4,Non-Hodgkin's Lymphomas
2007-2011,Subboro,18,5,N. Crown Heights/Prospect Heights,15.2,24.4,19.7,22,10,12,Non-Hodgkin's Lymphomas
2007-2011,Subboro,19,5,South Crown Heights,15.2,16.8,15.9,17.2,10,7.2,Non-Hodgkin's Lymphomas
2007-2011,Subboro,20,5,Bay Ridge,19.3,27.4,22.7,31.8,15.2,16.6,Non-Hodgkin's Lymphomas
2007-2011,Subboro,21,5,Bensonhurst,17.9,25,21.2,45.4,22.6,22.8,Non-Hodgkin's Lymphomas
2007-2011,Subboro,22,5,Borough Park,17.5,25.8,21.4,31.2,14.4,16.8,Non-Hodgkin's Lymphomas
2007-2011,Subboro,23,5,Coney Island,20.1,26,22.7,39.6,21,18.6,Non-Hodgkin's Lymphomas
2007-2011,Subboro,24,5,Flatbush,17.2,22.2,19.4,30.6,15.8,14.8,Non-Hodgkin's Lymphomas
2007-2011,Subboro,25,5,Sheepshead Bay/Gravesend,17.6,24.2,20.7,38.6,19.4,19.2,Non-Hodgkin's Lymphomas
2007-2011,Subboro,26,5,Brownsville/Ocean Hill,10.8,20.6,14.5,14.6,6.6,8,Non-Hodgkin's Lymphomas
2007-2011,Subboro,27,5,East Flatbush,13,13.1,13.2,19,10.8,8.2,Non-Hodgkin's Lymphomas
2007-2011,Subboro,28,5,Flatlands/Canarsie,16.9,23.5,19.6,38.6,19.6,19,Non-Hodgkin's Lymphomas
2007-2011,Subboro,29,5,Greenwich Village/Financial District,22.5,29.7,26.2,34.4,16.2,18.2,Non-Hodgkin's Lymphomas
2007-2011,Subboro,30,5,Lower East Side/Chinatown,17.8,26.1,21,39.2,18,21.2,Non-Hodgkin's Lymphomas
2007-2011,Subboro,31,5,Chelsea/Clinton/Midtown,14.4,31.6,23.5,34.8,10.8,24,Non-Hodgkin's Lymphomas
