CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,OWNSHP_CNT,PUB_SCH,SEP_SCH,PUBSEP_SCH,OTHER_SCH,UNKNWN_SCH,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,OTHER_CNT,OTHER_0_4,OTHER_5_14,OTHER_15_19,OTHER_20_24,OTHER_25_34,OTHER_35_44,OTHER_45_54,OTHER_55_64,OTHER_65_74,OTHER_75
Residential,1,MCT,MCKENZIE TOWNE,SOUTHEAST,DEVELOPING,BUILDING OUT,2019,,18283,7166,1895,5355,3655,1291,591,293,1336,3662,640,0,1496,1248,0,32,0,0,86,2,0,0,0,8995,9200,674,1393,482,366,1539,1861,1248,777,441,214,650,1361,407,393,1496,1869,1216,894,592,322,1330,2778,889,759,3050,3753,2473,1671,1033,536,77,6,24,0,0,15,23,9,0,0,0
Residential,1,POI,POINT MCKAY,CENTRE,BUILT-OUT,1960s/1970s,2019,,1343,846,29,605,506,88,63,20,169,0,24,0,312,510,0,0,0,0,0,0,0,0,0,617,723,19,23,10,21,112,83,69,120,99,61,27,24,8,21,119,95,79,138,129,83,46,47,18,42,231,178,148,258,228,144,0,0,0,0,0,0,0,0,0,0,0
Residential,1,MPK,MARLBOROUGH PARK,NORTHEAST,BUILT-OUT,1960s/1970s,2019,,8523,3143,708,2034,1694,589,167,87,605,2056,75,0,59,630,0,323,0,0,0,0,0,0,0,4387,4113,279,604,247,269,570,711,612,589,335,171,274,516,218,243,531,713,541,528,371,178,553,1120,465,512,1107,1424,1153,1117,706,349,6,0,0,0,0,6,0,0,0,0,0
Residential,1,SHN,SHAWNESSY,SOUTH,BUILT-OUT,1980s/1990s,2019,,9368,3323,649,2506,1718,731,217,74,583,2681,56,0,257,264,0,63,0,0,0,2,0,0,0,4686,4648,255,537,303,345,559,779,638,727,349,194,248,454,259,299,527,782,695,718,423,243,503,999,568,644,1086,1567,1333,1445,772,437,20,0,8,6,0,0,6,0,0,0,0
Residual Sub Area,4,10D,10D,NORTHEAST,N/A,OTHER,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,12K,12K,SOUTHEAST,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,AUB,AUBURN BAY,SOUTHEAST,DEVELOPING,BUILDING OUT,2019,,17607,6046,2422,4342,2899,1335,655,277,879,3790,611,1,887,743,0,11,0,0,2,1,0,0,0,8722,8831,911,1762,409,287,1475,2055,1026,466,246,85,906,1583,399,306,1745,2046,868,517,331,130,1825,3345,808,593,3232,4109,1905,983,577,215,39,8,0,0,0,12,8,11,0,0,0
Residential,1,BLM,BELMONT,SOUTH,DEVELOPING,BUILDING OUT,2019,,86,229,0,28,12,10,0,0,204,114,0,0,0,115,0,0,0,0,0,0,0,0,0,29,24,6,0,0,0,13,10,0,0,0,0,0,0,0,0,16,8,0,0,0,0,6,0,0,0,29,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,09O,09O,EAST,N/A,OTHER,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industrial,2,EFV,EAST FAIRVIEW INDUSTRIAL,SOUTH,N/A,EMPLOYMENT,2019,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,ING,INGLEWOOD,CENTRE,BUILT-OUT,INNER CITY,2019,,4024,2387,243,1154,1151,177,166,41,852,840,140,4,912,331,0,136,1,18,3,0,0,2,0,1984,2010,106,133,56,66,421,416,299,292,137,58,105,133,45,77,483,379,270,309,138,71,211,266,101,143,915,801,569,601,275,129,17,0,0,0,0,11,6,0,0,0,0
Residual Sub Area,4,09Q,09Q,EAST,N/A,OTHER,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,ABB,ABBEYDALE,NORTHEAST,BUILT-OUT,2000s,2019,,5957,2069,482,1356,1011,442,137,73,406,1418,290,0,0,230,0,130,0,0,0,0,0,1,0,3056,2895,191,527,193,185,407,503,399,397,187,67,175,419,168,148,428,501,393,395,204,64,366,946,361,333,835,1004,792,792,391,131,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,09K,09K,EAST,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,UOC,UNIVERSITY OF CALGARY,NORTHWEST,BUILT-OUT,OTHER,2019,,2367,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1131,1232,0,0,0,611,367,153,0,0,0,0,0,0,0,732,375,125,0,0,0,0,0,0,0,1343,742,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,DIA,DIAMOND COVE,SOUTH,BUILT-OUT,1980s/1990s,2019,,690,271,6,256,166,51,23,0,28,271,0,0,0,0,0,0,0,0,0,0,0,0,0,357,333,14,45,17,12,16,37,47,80,70,19,9,33,16,11,18,41,54,76,59,16,23,78,33,23,34,78,101,156,129,35,0,0,0,0,0,0,0,0,0,0,0
Residential,1,EDG,EDGEMONT,NORTHWEST,BUILT-OUT,1980s/1990s,2019,,15395,5437,756,4501,3649,736,352,104,594,4403,258,0,291,453,0,31,0,0,0,1,0,0,0,7548,7652,293,1034,498,490,625,837,1060,1298,975,438,280,882,470,451,626,916,1140,1370,986,531,573,1937,983,960,1300,1786,2232,2678,1973,969,191,0,21,15,19,49,33,32,10,12,0
Major Park,3,NPK,NOSE HILL PARK,NORTHWEST,N/A,PARKS,2019,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,ARB,ARBOUR LAKE,NORTHWEST,BUILT-OUT,0,2019,,10619,3937,553,3193,2163,841,319,118,496,2682,174,0,683,61,308,28,0,0,0,1,0,0,0,5168,5422,216,575,426,373,516,610,840,726,497,389,225,541,397,342,496,678,908,756,581,498,441,1116,823,715,1012,1288,1748,1489,1078,887,7,0,0,0,0,0,0,0,7,0,0
Residential,1,MID,MIDNAPORE,SOUTH,BUILT-OUT,1960s/1970s,2019,,7270,2898,442,1778,1515,563,184,117,519,1341,445,0,664,419,0,23,0,0,1,4,0,1,0,3459,3796,191,415,198,168,442,485,355,499,451,255,158,375,151,153,449,453,411,627,578,441,349,790,349,321,891,938,766,1126,1029,696,0,0,0,0,0,0,0,0,0,0,0
Residential,1,PAL,PALLISER,SOUTH,BUILT-OUT,1960s/1970s,2019,,3672,1840,327,1014,1116,269,113,33,309,468,184,156,710,319,0,3,0,0,0,0,0,0,0,1702,1961,90,219,74,92,180,252,211,159,189,236,87,189,70,91,218,277,204,241,256,328,177,408,144,183,398,529,415,400,445,564,0,0,0,0,0,0,0,0,0,0,0
Residential,1,COL,COLLINGWOOD,NORTHWEST,BUILT-OUT,1950s,2019,,2249,988,83,692,530,216,52,24,166,733,96,0,122,5,0,30,0,0,2,0,0,0,0,1121,1122,55,123,48,88,131,163,151,176,107,79,40,151,53,59,125,159,139,189,113,94,95,274,101,147,256,322,290,365,220,173,0,0,0,0,0,0,0,0,0,0,0
Residential,1,SPR,SPRUCE CLIFF,WEST,BUILT-OUT,1950s,2019,,4673,2431,391,841,1033,213,165,71,948,317,127,0,1765,141,0,79,0,0,1,1,0,0,0,2187,2480,164,216,87,112,424,366,272,254,178,114,165,218,79,142,459,371,287,320,240,199,329,434,166,254,883,737,559,574,418,313,0,0,0,0,0,0,0,0,0,0,0
Industrial,2,MCI,MCCALL,NORTHEAST,N/A,EMPLOYMENT,2019,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,TAR,TARADALE,NORTHEAST,DEVELOPING,2000s,2019,,19026,5272,1742,3135,2456,664,219,211,1721,3310,212,0,390,438,0,921,0,0,1,0,0,0,0,9914,9088,716,1832,679,794,1586,1736,1189,798,436,148,613,1460,593,601,1525,1794,1089,831,435,147,1329,3298,1272,1395,3117,3530,2278,1629,871,295,12,0,6,0,0,6,0,0,0,0,0
Industrial,2,GTI,GOLDEN TRIANGLE,EAST,N/A,EMPLOYMENT,2019,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,BRD,BRIDGELAND/RIVERSIDE,CENTRE,BUILT-OUT,INNER CITY,2019,,6835,3988,485,1364,1943,339,174,67,1465,869,118,45,2490,226,0,222,0,11,1,4,0,2,0,3273,3549,217,226,45,114,832,617,376,358,274,214,200,206,53,162,903,599,311,344,408,363,417,432,98,276,1741,1216,687,702,682,577,6,0,0,0,0,6,0,0,0,0,0
Industrial,2,BUR,BURNS INDUSTRIAL,CENTRE,N/A,EMPLOYMENT,2019,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,KIL,KILLARNEY/GLENGARRY,CENTRE,BUILT-OUT,1950s,2019,,7685,3927,672,1952,1819,337,232,106,1431,1315,867,70,543,740,0,388,0,0,3,0,0,1,0,3803,3857,266,354,112,188,864,826,495,389,204,105,286,335,131,191,944,789,443,396,205,137,552,689,243,379,1808,1615,938,793,409,242,8,0,0,0,0,0,0,0,8,0,0
Residential,1,HAW,HAWKWOOD,NORTHWEST,BUILT-OUT,1980s/1990s,2019,,9248,3334,434,2962,2120,583,229,100,302,3067,0,0,138,119,0,10,0,0,0,0,0,0,0,4596,4632,187,515,294,326,466,537,612,830,602,227,152,525,271,283,415,521,707,937,527,294,339,1040,565,609,881,1058,1319,1767,1129,521,0,0,0,0,0,0,0,0,0,0,0
Industrial,2,HIF,HIGHFIELD,CENTRE,N/A,EMPLOYMENT,2019,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,GRE,GREENWOOD/GREENBRIAR,NORTHWEST,BUILT-OUT,1960s/1970s,2019,,896,521,14,417,332,68,35,9,77,0,0,0,0,27,494,0,0,0,0,0,0,0,0,445,447,12,26,16,18,43,49,62,102,80,37,15,26,21,16,35,48,64,103,87,32,27,52,37,34,78,97,126,205,167,69,0,0,0,0,0,0,0,0,0,0,0
Residential,1,CRE,CRESCENT HEIGHTS,CENTRE,BUILT-OUT,INNER CITY,2019,,6620,3882,356,1225,1836,325,501,93,1127,1119,103,25,2208,267,0,149,0,8,1,1,0,1,0,3312,3282,148,198,78,160,992,709,357,348,187,135,146,180,77,224,942,590,359,336,224,204,294,378,155,384,1942,1299,716,684,411,339,8,0,0,0,0,8,0,0,0,0,0
Residential,1,ROC,ROCKY RIDGE,NORTHWEST,DEVELOPING,BUILDING OUT,2019,,8398,3181,494,2442,1693,505,211,135,636,1872,247,0,490,568,0,3,0,0,0,1,0,0,0,4072,4312,226,587,302,228,465,608,679,459,289,229,182,599,258,205,496,733,692,484,381,282,408,1186,560,433,961,1341,1371,943,670,511,0,0,0,0,0,0,0,0,0,0,0
Residential,1,HUN,HUNTINGTON HILLS,NORTH,BUILT-OUT,1960s/1970s,2019,,13420,5634,1009,3077,2828,902,429,135,1331,2953,556,9,527,1203,126,258,0,0,0,0,0,2,0,6629,6743,375,806,316,395,986,982,916,866,545,442,384,736,336,329,936,980,879,934,665,564,766,1549,652,724,1930,1969,1802,1800,1210,1006,36,7,7,0,0,8,7,7,0,0,0
Residential,1,SHW,SHERWOOD,NORTH,DEVELOPING,2000s,2019,,6246,2079,556,1356,1075,237,184,95,487,1349,1,0,480,221,2,26,0,0,0,0,0,0,0,3086,3147,207,476,208,233,516,529,473,275,117,52,206,455,237,212,521,620,438,261,140,57,413,931,445,445,1037,1149,911,536,257,109,0,0,0,0,0,0,0,0,0,0,0
Residential,1,RSN,REDSTONE,NORTHEAST,DEVELOPING,BUILDING OUT,2019,,5848,1828,629,1373,877,206,77,74,593,1040,274,2,0,486,0,25,0,0,0,1,0,0,0,2941,2883,283,469,198,142,505,651,279,213,179,22,228,392,169,130,593,617,264,235,230,25,511,861,367,272,1098,1268,543,448,409,47,0,0,0,0,0,0,0,0,0,0,0
Residential,1,FAL,FALCONRIDGE,NORTHEAST,BUILT-OUT,1980s/1990s,2019,,10653,3565,1123,1813,1630,568,219,97,1048,1862,544,1,212,597,0,347,2,0,0,0,0,0,0,5493,5147,437,897,365,381,853,956,662,556,306,80,410,822,306,313,926,858,588,526,303,95,847,1719,671,694,1779,1814,1250,1082,609,175,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,13F,13F,SOUTH,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,SSD,SUNNYSIDE,CENTRE,BUILT-OUT,INNER CITY,2019,,4230,2626,132,780,1422,163,192,48,801,493,44,17,1810,188,0,72,0,2,0,0,0,0,0,2057,2140,75,101,39,163,697,416,209,196,127,34,64,122,46,219,745,396,200,193,106,49,139,223,85,388,1458,812,409,389,233,83,22,0,0,0,6,16,0,0,0,0,0
Residential,1,MPL,MAPLE RIDGE,SOUTH,BUILT-OUT,1960s/1970s,2019,,1916,819,72,728,534,108,61,17,99,808,0,0,0,0,0,11,0,0,0,0,0,0,0,955,957,42,70,60,35,96,121,149,171,106,105,34,111,33,39,86,124,129,177,107,117,76,181,93,74,182,245,278,348,213,222,0,0,0,0,0,0,0,0,0,0,0
Industrial,2,MER,MERIDIAN,NORTHEAST,N/A,EMPLOYMENT,2019,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,RMT,ROSEMONT,CENTRE,BUILT-OUT,1950s,2019,,1254,569,26,314,270,70,29,11,189,309,173,0,19,0,0,68,0,0,0,0,0,0,0,628,623,20,71,12,38,142,99,77,92,46,31,21,79,15,44,109,86,81,88,44,56,41,150,27,82,251,185,158,180,90,87,0,0,0,0,0,0,0,0,0,0,0
Residential,1,STR,STRATHCONA PARK,WEST,BUILT-OUT,1980s/1990s,2019,,6855,2446,457,2146,1482,406,184,137,236,1943,224,0,0,273,0,6,0,0,0,0,0,0,0,3351,3491,191,457,232,215,305,435,470,533,340,173,184,533,214,180,299,475,510,586,350,160,375,990,446,395,604,910,980,1119,690,333,0,0,0,0,0,0,0,0,0,0,0
Residential,1,SOW,SOUTHWOOD,SOUTH,BUILT-OUT,1960s/1970s,2019,,6246,2673,414,1404,1470,486,201,81,434,1377,291,32,334,521,0,117,0,0,0,0,0,1,0,3114,3113,176,348,190,218,494,479,457,400,181,171,175,295,160,207,511,500,437,391,229,208,351,643,350,425,1005,979,894,791,410,379,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,01I,01I,WEST,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,SKR,SKYVIEW RANCH,NORTHEAST,DEVELOPING,2000s,2019,,11707,4175,1369,2636,1626,630,210,134,1571,1439,230,16,1965,464,0,59,0,0,0,2,0,0,0,5731,5737,531,832,245,313,1317,1185,564,405,228,111,490,737,229,300,1425,1179,478,465,280,154,1021,1620,474,622,2812,2451,1053,870,508,265,228,0,51,0,9,70,87,11,0,0,0
Residual Sub Area,4,12B,12B,SOUTHEAST,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,BRT,BRITANNIA,CENTRE,BUILT-OUT,1950s,2019,,690,313,0,226,171,20,21,24,77,256,0,0,57,0,0,0,0,0,0,0,0,0,0,340,345,0,39,28,23,25,25,48,79,53,20,8,35,23,20,24,30,55,72,56,22,8,74,51,43,49,55,103,151,109,42,0,0,0,0,0,0,0,0,0,0,0
Residential,1,NEB,NEW BRIGHTON,SOUTHEAST,DEVELOPING,BUILDING OUT,2019,,13103,4320,1711,3537,2213,909,340,152,705,3264,144,0,204,693,0,15,0,0,0,0,0,0,0,6592,6491,700,1216,308,260,1225,1502,802,369,159,51,590,1189,312,251,1363,1488,693,376,186,43,1290,2405,620,511,2588,2997,1495,745,345,94,7,0,0,0,0,0,7,0,0,0,0
Residential,1,DNW,DOWNTOWN WEST END,CENTRE,BUILT-OUT,CENTRE CITY,2019,,2785,2061,147,561,765,127,147,32,990,3,0,0,2055,0,0,0,0,0,1,0,0,2,0,1452,1326,75,50,26,57,466,293,157,158,111,59,76,78,18,79,423,217,142,153,95,45,151,128,44,136,889,510,299,311,206,104,0,0,0,0,0,0,0,0,0,0,0
Residential,1,CAS,CASTLERIDGE,NORTHEAST,BUILT-OUT,1980s/1990s,2019,,6127,1979,469,1201,1005,253,75,168,478,1458,227,0,119,0,0,175,0,0,0,0,0,0,0,3117,2928,171,484,217,248,499,540,379,317,202,60,186,413,176,235,455,537,336,305,201,84,357,909,393,483,972,1101,726,622,403,144,65,0,12,0,0,18,24,11,0,0,0
Major Park,3,COP,CANADA OLYMPIC PARK,WEST,N/A,OTHER,2019,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industrial,2,ESH,EAST SHEPARD INDUSTRIAL,SOUTHEAST,N/A,EMPLOYMENT,2019,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,WHL,WEST HILLHURST,CENTRE,BUILT-OUT,INNER CITY,2019,,6447,3086,517,1631,1647,255,235,125,822,1510,613,29,520,192,0,214,0,7,0,0,0,1,0,3188,3233,208,418,142,171,508,563,463,372,236,107,222,364,110,168,514,594,478,392,257,134,430,782,252,339,1028,1157,941,764,493,241,6,0,0,0,0,6,0,0,0,0,0
Residential,1,CIT,CITADEL,NORTHWEST,BUILT-OUT,1980s/1990s,2019,,10077,3488,729,2925,1905,795,290,99,398,2821,0,0,224,431,0,11,0,0,0,0,0,1,0,4970,5074,305,689,386,315,581,778,849,644,309,114,241,699,374,276,601,851,920,671,307,134,546,1395,767,591,1182,1635,1769,1315,616,248,20,0,7,7,0,0,6,0,0,0,0
Industrial,2,SRI,SADDLE RIDGE INDUSTRIAL,NORTHEAST,N/A,EMPLOYMENT,2019,,25,15,0,0,0,0,0,0,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,DOV,DOVER,EAST,BUILT-OUT,1960s/1970s,2019,,10351,4866,786,2669,2377,703,271,138,1369,2080,790,0,1149,549,0,298,0,0,0,0,0,0,0,5354,4975,286,616,237,265,777,869,712,792,538,262,299,500,213,257,692,778,652,704,568,312,585,1116,450,522,1469,1647,1364,1496,1106,574,0,0,0,0,0,0,0,0,0,0,0
Residential,1,SCA,SCARBORO,CENTRE,BUILT-OUT,INNER CITY,2019,,931,339,54,278,223,19,19,19,59,329,0,0,0,0,0,9,0,0,1,0,0,0,0,481,448,29,91,27,19,36,65,80,73,41,20,21,73,28,16,39,59,79,78,36,19,50,164,55,35,75,124,159,151,77,39,0,0,0,0,0,0,0,0,0,0,0
Residential,1,RCK,ROSSCARROCK,WEST,BUILT-OUT,1950s,2019,,3625,1715,209,439,814,225,70,103,503,424,511,9,385,102,0,283,0,0,1,0,0,0,0,1775,1844,107,208,87,125,357,344,223,192,87,45,120,160,94,153,412,337,220,186,93,69,227,368,181,278,769,681,443,378,180,114,0,0,0,0,0,0,0,0,0,0,0
Residential,1,SAD,SADDLE RIDGE,NORTHEAST,DEVELOPING,2000s,2019,,22321,6266,2244,4092,3333,708,221,228,1772,4035,334,2,720,410,1,764,0,0,0,0,0,0,0,11203,11078,816,1958,777,841,1998,1966,1332,814,509,192,802,1802,750,792,2033,2055,1153,871,624,196,1618,3767,1533,1633,4040,4021,2485,1685,1133,388,22,0,7,6,0,9,0,0,0,0,0
Residential,1,ERI,ERIN WOODS,EAST,BUILT-OUT,1980s/1990s,2019,,7049,2494,608,1692,1420,463,188,38,385,1846,50,0,119,271,97,111,0,0,0,0,0,0,0,3576,3456,253,553,223,208,483,566,535,502,195,58,231,497,204,179,509,611,484,467,198,76,484,1050,427,387,992,1177,1019,969,393,134,0,0,0,0,0,0,0,0,0,0,0
Residential,1,CED,CEDARBRAE,SOUTH,BUILT-OUT,1960s/1970s,2019,,6094,2624,429,1869,1580,492,190,49,311,1337,592,0,163,492,0,40,0,0,0,0,0,0,0,2983,3089,203,365,131,143,435,485,368,392,317,144,148,354,134,137,410,471,396,490,378,171,351,725,265,280,845,956,764,882,695,315,6,0,6,0,0,0,0,0,0,0,0
Residential,1,CUR,CURRIE BARRACKS,WEST,BUILT-OUT,BUILDING OUT,2019,,1262,617,39,388,250,62,37,48,220,161,8,2,279,113,0,4,0,0,50,0,0,0,0,595,665,37,84,18,25,97,136,84,67,29,18,37,67,33,48,135,135,94,65,39,12,74,151,51,73,232,271,178,132,68,30,0,0,0,0,0,0,0,0,0,0,0
Industrial,2,GRI,GREENVIEW INDUSTRIAL PARK,CENTRE,N/A,EMPLOYMENT,2019,,225,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,75,128,0,0,0,0,13,12,0,0,24,26,0,0,0,0,0,0,0,0,55,73,0,0,0,0,13,12,0,0,79,99,0,0,0,0,0,0,0,0,0,0,0
Residential,1,WIL,WILLOW PARK,SOUTH,BUILT-OUT,1960s/1970s,2019,,5328,2291,299,1712,1291,431,123,53,391,1587,0,16,229,439,0,18,0,0,0,0,0,2,0,2660,2636,139,258,130,151,304,326,390,394,297,271,123,281,117,104,297,352,392,385,303,282,262,548,247,255,601,678,791,779,600,553,18,0,9,0,0,0,0,9,0,0,0
Residential,1,LKV,LAKEVIEW,WEST,BUILT-OUT,1960s/1970s,2019,,5355,2342,342,1751,1489,326,132,95,300,1688,81,0,332,230,0,11,0,0,0,0,0,0,0,2610,2734,144,371,124,148,197,324,372,420,264,246,137,339,145,144,217,360,377,464,272,279,281,710,269,292,414,684,749,884,536,525,0,0,0,0,0,0,0,0,0,0,0
Residential,1,SAN,SANDSTONE VALLEY,NORTH,BUILT-OUT,1980s/1990s,2019,,5904,2133,318,1725,1208,421,126,42,334,1678,44,0,0,385,0,26,0,0,0,0,0,0,0,2908,2972,124,331,137,165,348,409,349,548,346,151,128,319,146,163,296,340,430,624,341,185,252,650,283,328,644,749,779,1179,687,336,7,0,0,0,0,0,0,0,7,0,0
Residential,1,EAU,EAU CLAIRE,CENTRE,BUILT-OUT,CENTRE CITY,2019,,2030,1355,6,677,527,99,66,68,595,1,0,2,1309,42,0,0,0,0,0,0,0,1,0,1017,1009,19,13,12,13,80,120,303,249,139,69,16,14,13,19,105,109,293,226,128,86,35,27,25,32,185,229,596,475,267,155,0,0,0,0,0,0,0,0,0,0,0
Residential,1,EPK,ELBOW PARK,CENTRE,BUILT-OUT,INNER CITY,2019,,3342,1195,193,1034,783,79,70,112,151,1182,2,0,0,0,0,11,0,0,0,0,0,0,0,1677,1651,96,270,132,105,71,199,263,292,160,89,84,293,120,68,85,224,272,282,143,80,180,563,252,173,156,423,535,574,303,169,0,0,0,0,0,0,0,0,0,0,0
Residential,1,VAR,VARSITY,NORTHWEST,BUILT-OUT,1960s/1970s,2019,,12874,5888,661,3418,3555,741,477,144,969,2601,169,1,2137,894,0,84,0,0,1,1,0,0,0,6289,6557,255,648,304,660,977,739,672,730,653,651,230,570,281,554,894,788,690,832,732,986,485,1218,585,1214,1871,1527,1362,1562,1385,1637,0,0,0,0,0,0,0,0,0,0,0
Industrial,2,OSH,OGDEN SHOPS,EAST,N/A,EMPLOYMENT,2019,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
